Tree	Shift_order	Net_Diversification	Relative_Extinction	Taxa_No
79	2	0.256068769	0.663370012	5_Euph_Bart_No_Africa
79	3	0.0681852	3.88E-09	4_Africa
80	1	0.158716066	3.30E-07	Background
80	2	0.217494453	0.956784849	6_S_Am
80	3	0.199708296	0.844327431	0_Euphrasia
81	1	0.161496911	9.18E-08	Background
81	2	0.198170348	0.925162653	6_S_Am
81	3	0.198231054	0.859443769	0_Euphrasia
82	1	0.170255555	1.29E-07	Background
82	2	0.15321331	0.940862648	6_S_Am
83	1	0.159773854	3.87E-07	Background
83	2	0.326703702	0.82725588	6_S_Am
83	3	0.185491555	0.878718749	0_Euphrasia
84	1	0.125106503	0.393274976	Background
84	2	0.306398424	0.639960637	5_Euph_Bart_No_Africa
84	3	0.083532444	2.58E-07	4_Africa
85	1	0.128871631	0.601646744	Background
85	2	0.349856464	1.40E-05	5_Euph_Bart_No_Africa
85	3	0.079720283	0.00012888	4_Africa
86	1	0.111942209	0.626947061	Background
86	2	0.287510345	0.715397309	5_Euph_Bart_No_Africa
86	3	0.075793885	1.36E-07	4_Africa
87	1	0.112665918	0.572240489	Background
87	2	0.35406591	0.167285093	5_Euph_Bart_No_Africa
87	3	0.075814626	0.000111844	4_Africa
88	1	0.138232569	0.15934644	Background
88	2	0.249717784	0.714943718	5_Euph_Bart_No_Africa
88	3	0.081770685	4.56E-07	4_Africa
89	1	0.140895905	0.184408283	Background
89	2	0.272488622	0.516477248	5_Euph_Bart_No_Africa
89	3	0.070072941	2.06E-08	4_Africa
90	1	0.126050281	0.00012845	Background
90	2	0.297603394	0.429770949	5_Euph_Bart_No_Africa
90	3	0.080327968	1.78E-07	4_Africa
91	1	0.14015963	0.423627846	Background
91	2	0.317956641	0.522334312	5_Euph_Bart_No_Africa
91	3	0.08158835	4.91E-07	4_Africa
92	1	0.108105008	0.71470016	Background
92	2	0.260675641	0.832327141	5_Euph_Bart_No_Africa
92	3	0.093685409	2.49E-06	4_Africa
93	1	0.108774138	0.473979565	Background
93	2	0.252594958	1.50E-06	7_Internal
94	1	0.124606237	0.06787732	Background
94	2	0.273412509	4.91E-05	7_Internal
95	1	0.109643887	0.025286088	Background
95	2	0.227654556	0.487054007	5_Euph_Bart_No_Africa
95	3	0.05719487	4.81E-09	4_Africa
96	1	0.169454607	2.93E-06	Background
96	2	0.226081107	0.914185149	6_S_Am
96	3	0.172740816	0.938738886	0_Euphrasia
97	1	0.230766627	5.53E-08	Background
97	2	0.269568891	0.922652038	6_S_Am
97	3	2.27E-17	3.90E-06	3_B_alpina
98	1	0.175868982	5.51E-06	Background
98	2	0.268316127	0.945242994	6_S_Am
98	3	0.200411125	0.889247759	0_Euphrasia
99	1	0.139672194	1.25E-07	Background
99	2	0.295424679	0.921562361	6_S_Am
99	3	0.203370333	0.867875882	0_Euphrasia
100	1	0.1518814	0.000174075	Background
100	2	0.329975404	0.017018299	5_Euph_Bart_No_Africa
100	3	0.073997198	5.99E-08	4_Africa
101	1	0.115038334	0.418974696	Background
101	2	0.268250633	8.18E-07	7_Internal
102	1	0.146637929	6.29E-06	Background
102	2	0.320162619	1.87E-06	7_Internal
103	1	0.114535484	0.613372508	Background
103	2	0.247636435	0.760545468	5_Euph_Bart_No_Africa
103	3	0.075156864	1.76E-08	4_Africa
104	1	0.163010775	3.52E-06	Background
104	2	0.30610843	0.869443984	6_S_Am
104	3	0.200633936	0.857687959	0_Euphrasia
105	1	0.214746194	1.47E-06	Background
105	2	0.275502398	0.89726406	6_S_Am
105	3	2.27E-17	3.90E-06	3_B_alpina
106	1	0.099533252	0.620048091	Background
106	2	0.242723538	0.684909245	5_Euph_Bart_No_Africa
106	3	0.067339993	3.76E-08	4_Africa
107	1	0.102715601	0.552533884	Background
107	2	0.254476014	1.25E-06	7_Internal
108	1	0.162518571	5.21E-06	Background
108	2	0.277555186	0.918100214	6_S_Am
108	3	0.194209168	0.912357722	0_Euphrasia
109	1	0.134352244	7.12E-09	Background
109	2	0.217782273	0.810307545	5_Euph_Bart_No_Africa
109	3	0.0701515	2.51E-07	4_Africa
110	1	0.126978125	0.000133457	Background
110	2	0.237753506	0.479532763	5_Euph_Bart_No_Africa
110	3	0.066225621	5.08E-08	4_Africa
111	1	0.163848853	1.70E-05	Background
111	2	0.222248045	0.955194224	6_S_Am
111	3	0.199713073	0.913890779	0_Euphrasia
112	1	0.154627966	1.18E-06	Background
112	2	0.322579174	0.863114773	6_S_Am
112	3	0.23148101	0.641523591	0_Euphrasia
113	1	0.244022416	2.82E-07	Background
113	2	0.221683716	0.954607364	6_S_Am
113	3	2.27E-17	3.90E-06	3_B_alpina
114	1	0.222077818	1.28E-06	Background
